date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:27	173/173	---M--	302	error ('Redirect')	text/html	date:Wed,%2020%20Feb%202019%2011:23:03%20GMT	http://www.lpu.in/international/accommodation.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/accommodation.230.delayed	(from https://www.lpu.in/international/programmes/ProgramSearch.php)
16:52:27	109769/109769	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202019%2011:23:03%20GMT	https://www.lpu.in/international/accommodation.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/accommodation.html	(from https://www.lpu.in/international/programmes/ProgramSearch.php)
16:52:28	191/191	---M--	302	error ('Redirect')	text/html	date:Wed,%2020%20Feb%202019%2011:23:04%20GMT	http://www.lpu.in/international/downloads/international-booklet.pdf	C:/My%20Web%20Sites/lpu/www.lpu.in/international/downloads/international-booklet.232.delayed	(from https://www.lpu.in/international/programmes/ProgramSearch.php)
16:52:30	183/183	---M--	302	error ('Redirect')	text/html	date:Wed,%2020%20Feb%202019%2011:23:05%20GMT	http://www.lpu.in/international/downloads/refund_policy.pdf	C:/My%20Web%20Sites/lpu/www.lpu.in/international/downloads/refund_policy.234.delayed	(from https://www.lpu.in/international/programmes/ProgramSearch.php)
16:52:33	194/194	---M--	302	error ('Redirect')	text/html	date:Wed,%2020%20Feb%202019%2011:23:07%20GMT	http://www.lpu.in/international/reporting-schedule-pickup-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/reporting-schedule-pickup-services.236.delayed	(from https://www.lpu.in/international/programmes/ProgramSearch.php)
16:52:34	330068/330068	---M--	200	added ('OK')	application/pdf	etag:%22f121956d518d41:0%22	https://www.lpu.in/international/downloads/refund_policy.pdf	C:/My%20Web%20Sites/lpu/www.lpu.in/international/downloads/refund_policy.pdf	(from https://www.lpu.in/international/programmes/ProgramSearch.php)
16:52:35	91863/91863	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202019%2011:23:10%20GMT	https://www.lpu.in/international/reporting-schedule-pickup-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/reporting-schedule-pickup-services.html	(from https://www.lpu.in/international/programmes/ProgramSearch.php)
16:52:36	202/202	---M--	302	error ('Redirect')	text/html	date:Wed,%2020%20Feb%202019%2011:23:12%20GMT	http://www.lpu.in/international/summer_school/SummerSchoolApplicationForm.aspx	C:/My%20Web%20Sites/lpu/www.lpu.in/international/summer_school/SummerSchoolApplicationForm.238.delayed	(from https://www.lpu.in/international/programmes/ProgramSearch.php)
16:52:40	163/163	---M--	302	error ('Redirect')	text/html	date:Wed,%2020%20Feb%202019%2011:23:14%20GMT	http://www.lpu.in/popup/acbsp_popup.jpg	C:/My%20Web%20Sites/lpu/www.lpu.in/popup/acbsp_popup.23a.delayed	(from https://www.lpu.in/international/programmes/ProgramSearch.php)
16:52:40	279696/279696	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202019%2011:23:13%20GMT	https://www.lpu.in/international/summer_school/SummerSchoolApplicationForm.aspx	C:/My%20Web%20Sites/lpu/www.lpu.in/international/summer_school/SummerSchoolApplicationForm.html	(from https://www.lpu.in/international/programmes/ProgramSearch.php)
16:52:41	8760775/8760775	---M--	200	added ('OK')	application/pdf	etag:%22e446ef87b8b7d41:0%22	https://www.lpu.in/international/downloads/international-booklet.pdf	C:/My%20Web%20Sites/lpu/www.lpu.in/international/downloads/international-booklet.pdf	(from https://www.lpu.in/international/programmes/ProgramSearch.php)
16:52:41	6014/6014	---M--	200	added ('OK')	image/jpeg	etag:%22089b3e527a1d11:0%22	https://www.lpu.in/popup/acbsp_popup.jpg	C:/My%20Web%20Sites/lpu/www.lpu.in/popup/acbsp_popup.jpg	(from https://www.lpu.in/international/programmes/ProgramSearch.php)
